Province,District,Candidate no.,Party,Votes
Bangkok Metropolis,13,12,Chart Pattana,129
Bangkok Metropolis,13,13,Thai Local Power Party,119
Bangkok Metropolis,13,25,Democratic Force party,101
Bangkok Metropolis,13,11,People Progressive party,93
Bangkok Metropolis,13,24,Palang Thai Rak Thai,82
Bangkok Metropolis,13,29,Polamuang Thai,75
Bangkok Metropolis,13,22,New Alternative Party,71
Bangkok Metropolis,13,20,New Democracy Party,57
Bangkok Metropolis,13,3,Puea Pandin Party,52
Bangkok Metropolis,13,23,Kru Thai,48
Bangkok Metropolis,13,19,Prashaniyom,37
Bangkok Metropolis,13,18,Paradonraphab Party,32
Bangkok Metropolis,13,31,Thai Rak Tham,27
Bangkok Metropolis,13,26,Palang Chart Thai,26
Bangkok Metropolis,13,28,Thai People Power Party,25
Bangkok Metropolis,13,27,Mahachon Party,21
Bangkok Metropolis,13,30,Prachatham Thai,13
Bangkok Metropolis,14,5,Pheu Thai,31445
Bangkok Metropolis,14,9,Palang Pracharath Party,25908
Bangkok Metropolis,14,10,Future Forward Party,24461
Bangkok Metropolis,14,6,Democrat Party,13375
Bangkok Metropolis,14,14,Action Coalition for Thailand,5518
Bangkok Metropolis,14,23,New Economics Party,4767
Bangkok Metropolis,14,4,Thai Liberal Party,2424
Bangkok Metropolis,14,8,Bhumjaithai Party,1332
Bangkok Metropolis,14,19,Thai Forest Conservation Party,368
Bangkok Metropolis,14,13,People's Reform,230
Bangkok Metropolis,14,11,Chart Thai Pattana,225
Bangkok Metropolis,14,1,Prachachat Party,206
Bangkok Metropolis,14,16,Thai Civilised,202
Bangkok Metropolis,14,20,Thailand's Future Party,198
Bangkok Metropolis,14,7,Chart Pattana,159
Bangkok Metropolis,14,15,Puea Chat party,140
Bangkok Metropolis,14,21,Democratic Force party,134
Bangkok Metropolis,14,25,Thai Local Power Party,129
Bangkok Metropolis,14,12,New Palangdharma Party,85
Bangkok Metropolis,14,3,People Progressive party,80
Bangkok Metropolis,14,22,Palang Chart Thai,71
Bangkok Metropolis,14,24,New Democracy Party,53
Bangkok Metropolis,14,29,Polamuang Thai,50
Bangkok Metropolis,14,26,Kru Thai,48
Bangkok Metropolis,14,2,Paradonraphab Party,44
Bangkok Metropolis,14,18,Prashaniyom,44
Bangkok Metropolis,14,30,Prachatham Thai,44
Bangkok Metropolis,14,17,Mahachon Party,35
Bangkok Metropolis,14,33,Thai Rak Tham,27
Bangkok Metropolis,14,32,Tin Ga Kaw,20
Bangkok Metropolis,14,28,Palang Thai Sang Chart,19
Bangkok Metropolis,14,31,Thai Network Party,10
Bangkok Metropolis,14,27,Thai Friend Party,0
Bangkok Metropolis,15,12,Palang Pracharath Party,31551
Bangkok Metropolis,15,6,Pheu Thai,30123
Bangkok Metropolis,15,2,Future Forward Party,21186
Bangkok Metropolis,15,1,Democrat Party,8949
Bangkok Metropolis,15,20,New Economics Party,3557
Bangkok Metropolis,15,13,Thai Liberal Party,1925
Bangkok Metropolis,15,7,Bhumjaithai Party,627
Bangkok Metropolis,15,16,Action Coalition for Thailand,367
Bangkok Metropolis,15,11,Prachachat Party,320
Bangkok Metropolis,15,9,Chart Pattana,260
Bangkok Metropolis,15,5,People Progressive party,219
Bangkok Metropolis,15,15,Thai Civilised,209
Bangkok Metropolis,15,8,Puea Chat party,169
Bangkok Metropolis,15,14,Chart Thai Pattana,119
Bangkok Metropolis,15,17,Democratic Force party,116
Bangkok Metropolis,15,10,People's Reform,111
Bangkok Metropolis,15,21,Thai People Power Party,90
Bangkok Metropolis,15,26,Mahachon Party,81
Bangkok Metropolis,15,4,Prashaniyom,77
Bangkok Metropolis,15,3,Thai Local Power Party,76
Bangkok Metropolis,15,22,Palang Chart Thai,71
Bangkok Metropolis,15,32,Thai Rak Tham,50
Bangkok Metropolis,15,28,Polamuang Thai,34
Bangkok Metropolis,15,30,Thai Network Party,32
Bangkok Metropolis,15,23,Kru Thai,26
Bangkok Metropolis,15,25,Glang,24
Bangkok Metropolis,15,29,Paradonraphab Party,19
Bangkok Metropolis,15,18,New Democracy Party,17
Bangkok Metropolis,15,24,Palang Sungkom,16
Bangkok Metropolis,15,27,Powerful Love Party,15
Bangkok Metropolis,15,31,Tin Ga Kaw,11
Bangkok Metropolis,15,19,Thai Forest Conservation Party,0
Bangkok Metropolis,16,6,Pheu Thai,31481
Bangkok Metropolis,16,11,Palang Pracharath Party,29304
Bangkok Metropolis,16,13,Future Forward Party,26352
Bangkok Metropolis,16,12,Democrat Party,10683
Bangkok Metropolis,16,22,New Economics Party,4389
